Country; Data Source; Beverage Types,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1979,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1978,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1977,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1976,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1975,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1974,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1973,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1972,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1971,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1970,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1969,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1968,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1967,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1966,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1965,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1964,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1963,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1962,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1961,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol); 1960
Afghanistan; Data source; All types,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Afghanistan; Data source; Beer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Afghanistan; Data source; Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Afghanistan; Data source; Spirits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Afghanistan; Data source; Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albania; Data source; All types,1.4,1.65,1.37,1.33,1.35,1.58,1.59,1.56,1.2,1.77,1.73,1.44,1.17,1.03,1.04,1.04,0.91,1.17,,
Albania; Data source; Beer,0.48,0.5,0.46,0.5,0.52,0.52,0.53,0.52,0.48,0.47,0.54,0.53,0.49,0.51,0.5,0.52,0.52,0.49,,
Albania; Data source; Wine,0.16,0.3,0.16,0.14,0.14,0.19,0.34,0.23,0.13,0.51,0.47,0.36,0.19,0.13,0.21,0.26,0.19,0.28,,
Albania; Data source; Spirits,0.76,0.85,0.74,0.69,0.69,0.87,0.72,0.82,0.59,0.79,0.73,0.55,0.49,0.38,0.33,0.26,0.2,0.41,,
Algeria; Data source; All types,0.56,0.95,1.05,1.38,1.36,1.56,1.49,2.51,2.12,1.67,1.87,1.32,0.88,0.85,0.93,0.91,1.12,1.77,2.57,
Algeria; Data source; Beer,0.27,0.29,0.31,0.31,0.22,0.35,0.41,0.38,0.38,0.38,0.36,0.34,0.33,0.29,0.27,0.26,0.33,0.51,0.67,
Algeria; Data source; Wine,0.26,0.58,0.67,0.98,1.04,1.12,1.07,2.04,1.61,1.17,1.27,0.82,0.5,0.5,0.58,0.57,0.73,1.14,1.6,
Algeria; Data source; Spirits,0.02,0.07,0.07,0.09,0.09,0.08,0,0.06,0.12,0.11,0.23,0.15,0.05,0.05,0.07,0.07,0.07,0.11,0.29,
Angola; Data source; All types,1.7,1.67,1.88,2.32,2.44,3.69,4.74,4.31,4.9,5.43,5.51,5.39,5.25,5.76,5.31,4.92,4.7,4.49,5.37,
Angola; Data source; Beer,1.27,1.36,1.33,1.51,1.3,1.68,1.9,1.72,1.65,1.48,1.38,1.2,1.09,1.12,0.95,0.94,1.01,0.91,0.72,
Angola; Data source; Wine,0.22,0.05,0.19,0.39,0.8,1.73,1.66,1.9,2.37,3.2,3.62,3.65,3.87,4.35,4.01,3.5,2.93,2.38,3.36,
Angola; Data source; Spirits,0.21,0.27,0.36,0.42,0.34,0.29,1.18,0.68,0.89,0.75,0.51,0.55,0.29,0.3,0.36,0.47,0.76,1.2,1.3,
Antigua and Barbuda; Data source; All types,0.94,0.66,0.73,3.01,1.91,2.01,5.52,2.88,5.8,5.89,5.05,4.75,4.84,4.89,3.5,3.64,3.58,3.22,,
